iter	RMSE
0	0.9346102964
1	0.9207281989
2	0.9055802682
3	0.8929730856
4	0.8807461203
5	0.8667377948
6	0.8553682932
7	0.8437455842
8	0.8321870049
9	0.8202303232
10	0.8097816747
11	0.7983217404
12	0.7873563464
13	0.7758666457
14	0.7662846723
15	0.7568809059
16	0.7482298728
17	0.7401182083
18	0.7308351537
19	0.7212747068
20	0.7119931016
21	0.7016435483
22	0.694083514
23	0.6835875593
24	0.6761126891
25	0.6681655434
26	0.6622025348
27	0.6555112832
28	0.6486699592
29	0.6426879048
30	0.6357456239
31	0.6288561352
32	0.6235732996
33	0.6178949412
34	0.6103215314
35	0.6029572771
36	0.5967185452
37	0.5900158629
38	0.5842376839
39	0.5772579602
40	0.571726569
41	0.5675996035
42	0.5605102913
43	0.5560732245
44	0.5513294058
45	0.5446811557
46	0.5395065847
47	0.5354701495
48	0.5335330298
49	0.5277498521
50	0.5233631655
51	0.5184771447
52	0.5149707939
53	0.5092637108
54	0.505596423
55	0.502258146
56	0.4972717698
57	0.493548003
58	0.4891107729
59	0.4854394215
60	0.4811159156
61	0.4776795454
62	0.4738648258
63	0.4701794589
64	0.4662800786
65	0.4628564781
66	0.4591451684
67	0.4556622468
68	0.4528493437
69	0.4508245184
70	0.4479223683
71	0.4450433119
72	0.4425540745
73	0.4396815687
74	0.4355653469
75	0.4319129139
76	0.4288809163
77	0.4264486547
78	0.4237718597
79	0.4206031128
80	0.417482194
81	0.4145755225
82	0.4130066345
83	0.4105051315
84	0.4073989664
85	0.4060830028
86	0.4044287179
87	0.4012388963
88	0.3989953016
89	0.396979703
90	0.3946157113
91	0.3913650357
92	0.3896022491
93	0.3870293292
94	0.3848994089
95	0.3821995598
96	0.3798539864
97	0.3772506806
98	0.3755190017
99	0.3738558565
100	0.3725319171
101	0.370561754
102	0.3686622842
103	0.3663935355
104	0.3649807193
105	0.3630431495
106	0.3611446327
107	0.3596890801
108	0.3566054581
109	0.3546040367
110	0.3528733915
111	0.3511969882
112	0.3498912088
113	0.3483456075
114	0.3469493567
115	0.3451249623
116	0.3439165842
117	0.3429288284
118	0.3409088233
119	0.339886713
120	0.3384040212
121	0.3375996872
122	0.3359380557
123	0.3349561584
124	0.3341215646
125	0.3326503174
126	0.331378475
127	0.3300742775
128	0.3287394302
129	0.3279126525
130	0.3268165039
131	0.3256199141
132	0.3251902645
133	0.3240926745
134	0.3229632182
135	0.3223613216
136	0.3209976106
137	0.3202495488
138	0.3194816571
139	0.3184050295
140	0.3179174167
141	0.316809129
142	0.3159882598
143	0.3145635603
144	0.3136086228
145	0.3120761088
146	0.3106967287
147	0.3096222413
148	0.3085009118
149	0.3073777044
150	0.3062649617
151	0.3051671422
152	0.3043523617
153	0.3032321586
154	0.3017993267
155	0.3007953868
156	0.3002216007
157	0.299205592
158	0.2985943761
159	0.2978231115
160	0.2969489107
161	0.2961848644
